date,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,CH_SECO,crea_recession
2003-03-31,-0.2828,-0.1947,-0.8008,-0.2476,-0.2819,-0.3598,-0.2653,-0.4899,-0.4317,-0.2739,-0.5548,-0.1912,-0.4765,-0.1005,-0.3118,-0.3912,-0.5897,-0.1594,0.0519,-0.4546,-0.2712,-0.3357,-0.1080,-0.0235,-0.1093,-0.7764,-0.3824,1
2003-06-30,-0.6341,-0.5849,-0.9351,-0.3480,-0.5744,0.5786,-0.5029,0.1356,-0.9921,-0.6079,-0.8924,-0.3928,-0.5666,-0.5563,-0.3134,-0.4192,-0.4321,-0.5864,-0.3258,-0.5667,-0.1608,-0.8020,-0.1246,-0.8411,-1.0171,0.0908,-0.2844,1
2003-09-30,0.6839,0.9010,0.2037,0.6870,0.9528,0.5361,0.6116,1.8233,0.3369,0.3942,1.1387,0.7558,1.0431,0.8768,0.8706,0.9027,1.0343,0.7870,1.0228,0.9387,1.1344,0.3619,0.9788,0.7059,2.3079,1.2244,1.0377,0
2003-12-31,0.8858,1.2925,0.1786,0.8950,0.9245,1.4333,0.9360,1.9923,0.4083,0.4766,1.0727,1.0335,0.9498,1.1487,0.8725,0.9229,1.3961,0.9652,1.2317,1.0487,1.3377,0.4074,1.5316,0.8602,1.8442,1.1776,1.1637,0
2004-03-31,0.3535,0.5153,-0.3237,0.3297,0.5793,0.7992,0.4099,0.9981,-0.4478,-0.0223,-0.0106,0.5651,0.2563,0.2626,-0.0061,0.2675,0.3650,0.1541,0.7652,0.5656,0.3744,-0.8228,0.6985,0.2153,1.4172,0.3738,0.4678,0
2004-06-30,0.8452,1.0259,0.2192,0.7917,0.6512,0.7646,0.8735,1.0134,0.1484,0.4487,1.0065,0.8010,0.5846,0.0754,0.8562,0.6616,0.6194,1.0053,1.0338,0.7452,0.6649,0.4228,1.0430,1.0786,1.2707,0.3879,0.7010,0
2004-09-30,-0.0145,-0.6293,-0.6585,-0.1302,-0.1790,0.2044,-0.1220,-0.4937,-0.6298,-0.0587,-1.0608,-0.0986,-0.5172,-0.2852,0.3895,-0.3432,-1.0204,-0.1895,0.1293,-0.4916,-0.5981,0.1643,-0.3655,-0.3202,-1.0522,-0.1234,-0.2536,0
2004-12-31,0.3533,0.7783,-0.1076,0.2586,-0.1288,0.4786,0.5151,0.8864,0.1707,0.0623,0.4393,0.4263,0.0254,0.4619,0.6125,0.3001,0.1128,0.4059,0.7977,0.2295,0.7227,0.3567,0.8140,0.6420,1.0614,0.4649,0.4399,0
2005-03-31,1.4056,1.2101,0.5426,0.8112,1.0368,1.2326,1.1876,1.2579,0.8442,1.0851,1.2443,1.0235,1.4933,0.6359,1.6047,0.9528,1.0823,1.1264,1.4122,0.8946,1.0635,1.3569,0.9224,1.2262,1.8006,0.9908,1.0695,0
2005-06-30,0.6631,1.6084,0.8176,0.7424,0.9670,1.0689,1.1882,1.1791,0.6720,0.2298,1.7817,1.3671,1.5279,1.4799,1.7374,1.2099,1.1104,0.8333,1.0903,1.2637,1.3569,-0.1600,0.9132,-0.0100,2.5052,1.0879,1.0584,0
2005-09-30,1.0789,1.2094,0.5059,0.6106,0.9727,0.8402,0.8017,1.5938,0.5527,0.6144,1.0839,0.8785,1.1188,0.3402,1.5916,0.8782,0.7133,0.7599,1.3355,0.9948,1.1754,0.9766,0.9812,1.2387,2.5997,1.3241,1.1190,0
